"","004_Veh_1","004_Veh_2","006_Veh_1","006_Veh_2","007_Veh_1","007_Veh_2","008_Veh_1","008_Veh_2","C19_Veh_1","C19_Veh_2","22q001_Veh_1","22q001_Veh_2","22q002_Veh_1","22q002_Veh_2","22q003_Veh_1","22q003_Veh_2","22q005_Veh_1","22q005_Veh_2","1F3_Veh_1","1F3_Veh_2","004_TTX_1","004_TTX_2","006_TTX_1","006_TTX_2","007_TTX_1","007_TTX_2","008_TTX_1","008_TTX_2","C19_TTX_1","C19_TTX_2","22q001_TTX_1","22q001_TTX_2","22q002_TTX_1","22q002_TTX_2","22q003_TTX_1","22q003_TTX_2","22q005_TTX_1","22q005_TTX_2","1F3_TTX_1","1F3_TTX_2"
"hsa-miR-887-3p",1.27839936749952,2.035136601622,3.01368561720991,2.79328558622548,2.53248264789641,2.7223760430337,3.43529658395083,3.35766137107956,3.6296985254389,3.77977297673857,2.07801476017003,2.69196118275802,4.1859182423895,5.03422232700802,2.50673350896537,3.5149034708702,1.5961657943628,2.54184800247231,3.46574626788016,3.17708361346064,2.9609714119945,2.86071733290654,2.29857959087787,3.00745057324828,1.27107869554661,2.18917906954281,2.77287693385339,2.19721201936769,1.45048676647208,3.07636883303986,2.88530869956212,2.90895500175978,4.24554348903354,4.6079966725989,3.32959439156547,3.38782766428152,2.19935260591855,1.9276989985705,2.47574097214248,3.59170421171674
"hsa-miR-665",2.38233547804791,2.87999609084611,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,3.3396495328373,3.25482358570437,-0.0251696636485137,-0.0251696636485137,3.70891667194683,2.39684541413579,6.19712199491092,5.93422071945084,3.95517767897932,4.71890712918781,-0.0251696636485137,-0.0251696636485137,3.32486377426673,3.8554333086582,2.9609714119945,3.67268414344364,-0.0251696636485137,-0.0251696636485137,3.48657463775219,3.99447581699922,3.44570324935171,3.72429206877552,-0.0251696636485137,-0.0251696636485137,3.89332277214991,3.92036416514909,5.87764816684641,5.61802409005209,4.281902765624,3.69382129030823,-0.0251696636485137,-0.0251696636485137,4.44077076593493,4.4766298805857
"hsa-miR-873-5p",5.99447311012182,6.29544902756142,6.43479280095772,6.65350699718656,6.12377846104038,5.7175511895112,6.69697023082618,6.69915760135347,7.47117216784667,7.65999839187538,6.43401946294245,6.76571181101074,5.63104259242611,5.96303623159819,7.27198974890847,7.18202318599485,6.25421288670407,6.38258342348078,5.97922752750839,5.77993028211018,6.700628100182,6.54227253839594,7.03488964362099,6.49937552072719,6.63652392015059,6.89823021437871,6.30590005158793,6.65884179049537,7.1159648761771,7.06218142207494,6.39809844191305,6.66176727658012,5.47829465546635,5.28541677738615,7.54444837629864,7.16137853016767,6.05027457140102,6.2327414989475,4.87136072923888,5.38201755101641
"hsa-miR-873-3p",6.22721709818284,6.57181316418946,6.7170333237027,6.74792105390037,6.99946325813676,6.73025093639758,6.95067644283337,7.00393740412447,8.28056869042418,8.14042212477357,7.10246672051254,7.24594141485285,6.09502632990433,5.96303623159819,7.13902345106114,7.12832108323384,7.19559165723465,6.86585125588214,6.27338093358666,6.15214931508023,6.84440826905617,7.15062289858956,6.76920908474909,6.70921433303295,7.33460217673315,7.14707809155011,6.66057139596805,6.44107025668504,7.79952079475706,7.63327862021985,7.27325733128904,7.06984585269354,5.61012407999561,5.6825620763188,7.41206046580591,7.19803124246816,6.93170886754509,6.7779609994179,5.58906760070817,5.56229429168908
"hsa-miR-543",11.7197799124976,11.5812309644484,5.83623155715845,5.72810730200973,5.70556957441692,5.14574594261836,12.0898361055651,12.571830884524,6.18040309106364,6.00246003342757,12.4209819509015,12.0923719559997,12.7666006256227,12.6709058172284,13.0817960113985,12.9091515962151,5.72548478016526,5.53000722350698,11.8701440567859,11.9981928021826,12.0913305322855,12.1941168438474,5.38715981629776,5.3220379979211,12.6695308358221,12.7985763632052,12.4953937135751,12.561173232367,5.58207215494149,5.77134336315028,12.7997745587318,12.8380714465826,12.6157362442748,12.5838546085797,12.6022915277206,12.5775368941204,5.96544328489781,5.52027616224768,11.900359689516,11.9574419659891
"hsa-miR-374b-5p",13.245203030054,13.0959834876854,13.2982036202738,13.2146033312534,13.0824911768468,13.0293223902641,12.834397573974,12.744863098052,13.084830606564,13.0043615613406,12.6950045550016,12.4644024936058,12.8634087936876,12.8030020074421,12.6211926507175,12.5465446627189,12.7692596447461,12.7602909335897,12.8995049660624,12.7999904690389,12.9877905975977,12.9004858780928,13.1358969293151,13.028763925621,12.6924495259121,12.8814079126598,13.0419618387576,13.0963189781967,12.8114416493581,12.6627465619569,12.7069538341771,12.7081142236868,12.6560026673175,12.66042925355,12.8797796212429,12.8353167098086,12.9610343686907,12.9383499066041,12.6659866954844,12.6742595323192
"hsa-miR-374b-3p",9.0020087638663,8.8403268536265,8.90933879476808,8.81518279438025,9.02980559299342,9.07492444922191,8.85206168551095,8.53668403734764,8.48639715690068,8.65299708905431,8.7169260914452,8.71458378872906,7.94419084960142,7.98614036961395,8.41025469195915,7.8192954368961,8.37137919991079,8.29372180113123,8.55813063495732,8.47524513984044,8.61602491726131,8.56978554278622,9.22008742637468,9.11683046974045,8.50828279215816,8.74348022613071,8.79081851332245,8.81145845166973,8.2875445531736,8.06178496453373,8.52922714431731,8.60964251124619,8.11722937960411,8.09662738176437,8.24602074600096,8.32169654440985,9.07976718704185,9.04243225569635,8.65658800061419,8.57737068946528
"hsa-miR-760",5.37255669144499,5.19699374754476,5.71919579474164,5.79599249894286,4.97451742020109,5.02374189668772,5.64650790277597,5.74473828779111,6.35866408968086,6.26562761696061,6.02973067952039,5.8505008418825,4.75427571045341,5.3281655451444,5.84172466659304,5.91437528728287,5.2902130397889,5.09285278145202,5.41614601796855,5.20834817606642,5.30718384224703,5.43365947923935,4.86975824325386,5.66192074675241,5.23120341153984,5.15461445181219,4.85744506965499,5.59055914390791,5.2406981854777,5.52829385114111,5.21390276453247,5.09124366437381,4.70533712666734,4.14020267688238,5.60617257280894,5.98498734682508,4.77971000076404,4.8649300467369,4.30944299368881,4.97832565661237
"hsa-miR-301b-5p",5.27991282165982,5.03256873223192,4.48501757458356,5.16905714960722,4.60013513623445,5.39570480134342,4.58102553245116,4.68200689785016,3.51319838720692,4.14545110042819,4.36178170698655,4.71808480508083,5.59408356823463,6.0990615707253,4.27879405896133,4.71890712918781,5.01069210139724,5.09285278145202,6.06956688687707,5.91496387608553,5.15490609748421,5.01573192637192,5.52522461994872,5.44445642918384,4.63381395978571,4.98582271910023,4.8066292157694,5.08842809262008,5.61545561115119,3.82011832539448,3.7003266499125,4.24306977249095,5.91211448535428,5.40501995829644,4.36630200315819,4.43059079135783,5.09154969720765,4.81210457539102,6.06600449301401,6.03891877082051
"hsa-miR-301b-3p",7.40384984833041,7.23271134946265,6.88941288465511,6.99892945675082,6.74439863282951,6.69073569481391,6.04255605266382,6.62963452672517,6.19925395818975,6.10943462364876,6.51467852970403,6.09076895727239,7.43973518423254,7.47832666868943,6.63156086823167,6.40468037021448,6.59984411528907,6.95042880903806,7.31172568820484,7.37019914734663,6.86907733586961,6.54227253839594,6.95165039408377,7.08339519831851,6.52134745360209,6.32161327616654,6.46166653318871,6.63163629202617,6.18133196266536,5.72076285322033,6.34978838348144,6.008168196026,7.21276560671535,7.11860075616405,5.5711086616034,5.67401825756603,6.64854603958661,6.66347019791123,7.97597606886573,7.99610309307633
"hsa-miR-216b-5p",10.6072993082007,10.6188396291892,10.8765090722335,10.8883077720179,10.7505619382631,10.7190973505428,9.87247412608993,10.0401566888312,10.2320068703809,10.2118192084584,8.57838999316349,8.34365595684383,11.2160207095748,11.325982787496,10.2501596823016,10.4005961517131,10.4240039185741,10.4083092437172,11.9172733260357,11.8247070092505,10.91672277098,10.9560588148059,10.4904948936547,10.6451582164571,10.03305749805,9.59483676824307,10.3305578190347,9.97449927782821,10.241198603016,10.3061601220284,9.490543738,9.57594250760035,11.0553139256621,10.9905548593181,10.4074363351909,10.5049785339664,9.61506573075726,9.7726531800921,10.4521435021178,10.3237849515669
"hsa-miR-216b-3p",5.61935247314433,5.52865047208578,5.69460379264679,5.55604907464209,5.43994608501491,5.39570480134342,4.45070898085602,4.47069929428078,4.88702101549695,4.83648612271362,4.67471387459992,3.75582700247241,6.2215552437421,6.35961602315714,5.20671017153437,5.1657102142764,4.94763393711051,4.58832448728779,6.4519262530222,6.49160867257351,5.19451087089434,5.19768591374644,4.86975824325386,5.71152149631093,4.36301682947953,4.67269219029079,5.12959840577674,5.72538250025304,5.19724950481918,5.12339895125545,4.06334148493781,4.16894622615469,6.60250383334887,6.33208138365343,5.88841722426036,5.83787016997876,4.77971000076404,4.91588529390498,4.91714114992351,5.0606438060209
"hsa-miR-208b-5p",-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.33739311368316,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137
"hsa-miR-208b-3p",2.60859378736573,1.69921010810514,1.30068317845528,2.10214361685382,1.7068406535338,1.85204346215952,1.91565106609898,1.92850725435772,1.34409025869129,1.3659003582836,2.46434777325141,2.01789831349196,1.52779136945565,2.45663566529386,1.86565558384029,3.21559022587879,1.5961657943628,1.37846347144568,-0.0251696636485137,2.6561621013059,1.88168287163437,-0.0251696636485137,-0.0251696636485137,1.78923745025731,2.09911501346929,2.78182967789641,2.25376918369455,2.90666284725054,1.45048676647208,1.8385608478514,3.21201452700816,-0.0251696636485137,1.61929804781762,1.45174656312356,-0.0251696636485137,2.06710429884675,2.47914360486315,-0.0251696636485137,1.33670964657949,1.82457260456607
"hsa-miR-920",-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,2.19935260591855,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137
"hsa-miR-921",-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.51660866229481,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.33739311368316,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137
"hsa-miR-924",-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,1.52202370238688,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137,-0.0251696636485137
